timestamp,email,lastname,firstname,price,CENTS,location,source
2014-01-06 07:28:00,Edvard.Vann%40gastech.com.kronos,Vann,Edvard,11.34,1134,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:34:00,Hideki.Cocinaro%40gastech.com.kronos,Cocinaro,Hideki,52.22,5222,Hallowed+Grounds,cc_data.csv
2014-01-06 07:35:00,Stenig.Fusil%40gastech.com.kronos,Fusil,Stenig,8.33,833,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:36:00,Birgitta.Frente%40gastech.com.kronos,Frente,Birgitta,16.72,1671,Hallowed+Grounds,cc_data.csv
2014-01-06 07:37:00,Sven.Flecha%40gastech.com.kronos,Flecha,Sven,4.24,423,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:38:00,Cornelia.Lais%40gastech.com.kronos,Lais,Cornelia,4.17,417,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:42:00,Linnea.Bergen%40gastech.com.kronos,Bergen,Linnea,28.73,2873,Coffee+Cameleon,cc_data.csv
2014-01-06 07:43:00,Mat.Bramar%40gastech.com.kronos,Bramar,Mat,9.6,960,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:43:00,Brand.Tempestad%40gastech.com.kronos,Tempestad,Brand,16.9,1690,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:47:00,Emile.Arpa%40gastech.com.kronos,Arpa,Emile,16.53,1653,Hallowed+Grounds,cc_data.csv
2014-01-06 07:48:00,Kare.Orilla%40gastech.com.kronos,Orilla,Kare,10.66,1066,Hallowed+Grounds,cc_data.csv
2014-01-06 07:49:00,Bertrand.Ovan%40gastech.com.kronos,Ovan,Bertrand,8.39,839,Coffee+Cameleon,cc_data.csv
2014-01-06 07:52:00,Hennie.Osvaldo%40gastech.com.kronos,Osvaldo,Hennie,32.83,3283,Brew%27ve+Been+Served,cc_data.csv
2014-01-06 07:54:00,Nils.Calixto%40gastech.com.kronos,Calixto,Nils,16.88,1687,Hallowed+Grounds,cc_data.csv
2014-01-06 07:54:00,Adra.Nubarron%40gastech.com.kronos,Nubarron,Adra,11.86,1186,Coffee+Cameleon,cc_data.csv
2014-01-06 07:54:00,Rachel.Pantanal%40gastech.com.kronos,Pantanal,Rachel,32.93,3293,Hallowed+Grounds,cc_data.csv
2014-01-06 07:55:00,Lucas.Alcazar%40gastech.com.kronos,Alcazar,Lucas,8.05,805,Hallowed+Grounds,cc_data.csv
