lastname,firstname,email,timestamp,emptitle,emptype,source
Bramar,Mat,Mat.Bramar%40gastech.com.kronos,2005-07-01,Assistant+to+CEO,Administration,employment
Ribera,Anda,Anda.Ribera%40gastech.com.kronos,2009-10-30,Assistant+to+CFO,Administration,employment
Pantanal,Rachel,Rachel.Pantanal%40gastech.com.kronos,2013-10-01,Assistant+to+CIO,Administration,employment
Lagos,Linda,Linda.Lagos%40gastech.com.kronos,2010-02-01,Assistant+to+COO,Administration,employment
Mies+Haber,Ruscella,Ruscella.Mies.Haber%40gastech.com.kronos,2003-04-02,Assistant+to+Engineering+Group+Manager,Administration,employment
Forluniau,Carla,Carla.Forluniau%40gastech.com.kronos,2005-03-07,Assistant+to+IT+Group+Manager,Administration,employment
Lais,Cornelia,Cornelia.Lais%40gastech.com.kronos,2011-12-22,Assistant+to+Security+Group+Manager,Administration,employment
Onda,Marin,Marin.Onda%40gastech.com.kronos,2003-04-13,Drill+Site+Manager,Engineering,employment
Borrasca,Isande,Isande.Borrasca%40gastech.com.kronos,2004-02-18,Drill+Technician,Engineering,employment
Calzas,Axel,Axel.Calzas%40gastech.com.kronos,1997-07-17,Drill+Technician,Engineering,employment
Orilla,Kare,Kare.Orilla%40gastech.com.kronos,2005-11-12,Drill+Technician,Engineering,employment
Orilla,Elsa,Elsa.Orilla%40gastech.com.kronos,2004-05-26,Drill+Technician,Engineering,employment
Tempestad,Brand,Brand.Tempestad%40gastech.com.kronos,2004-06-12,Drill+Technician,Engineering,employment
Azada,Lars,Lars.Azada%40gastech.com.kronos,1995-12-01,Engineer,Engineering,employment
Balas,Felix,Felix.Balas%40gastech.com.kronos,2004-09-02,Engineer,Engineering,employment
Dedos,Lidelse,Lidelse.Dedos%40gastech.com.kronos,2003-03-01,Engineering+Group+Manager,Engineering,employment
Frente,Birgitta,Birgitta.Frente%40gastech.com.kronos,1999-05-03,Geologist,Engineering,employment
Nubarron,Adra,Adra.Nubarron%40gastech.com.kronos,1994-07-08,Geologist,Engineering,employment
Cazar,Gustav,Gustav.Cazar%40gastech.com.kronos,2009-09-15,Hydraulic+Technician,Engineering,employment
Frente,Vira,Vira.Frente%40gastech.com.kronos,2001-12-01,Hydraulic+Technician,Engineering,employment
Vasco%2dPais,Willem,Willem.Vasco%2dPais%40gastech.com.kronos,2010-06-05,Environmental+Safety+Advisor,Executive,employment
Sanjorge+Jr.,Sten,Sten.Sanjorge+Jr.%40gastech.com.kronos,1990-11-09,President%2fCEO,Executive,employment
Barranco,Ingrid,Ingrid.Barranco%40gastech.com.kronos,2003-09-30,SVP%2fCFO,Executive,employment
Campo%2dCorrente,Ada,Ada.Campo%2dCorrente%40gastech.com.kronos,2004-10-05,SVP%2fCIO,Executive,employment
Strum,Orhan,Orhan.Strum%40gastech.com.kronos,2003-08-07,SVP%2fCOO,Executive,employment
Ovan,Bertrand,Bertrand.Ovan%40gastech.com.kronos,1998-10-01,Facilities+Group+Manager,Facilities,employment
Arpa,Emile,Emile.Arpa%40gastech.com.kronos,2013-03-18,Janitor,Facilities,employment
Awelon,Varro,Varro.Awelon%40gastech.com.kronos,2012-10-22,Janitor,Facilities,employment
Coginian,Dante,Dante.Coginian%40gastech.com.kronos,1995-01-07,Lead+Janitor,Facilities,employment
Hafon,Albina,Albina.Hafon%40gastech.com.kronos,2009-09-12,Truck+Driver,Facilities,employment
Hawelon,Benito,Benito.Hawelon%40gastech.com.kronos,2000-02-21,Truck+Driver,Facilities,employment
Hawelon,Claudio,Claudio.Hawelon%40gastech.com.kronos,2007-03-13,Truck+Driver,Facilities,employment
Mies,Henk,Henk.Mies%40gastech.com.kronos,2013-07-12,Truck+Driver,Facilities,employment
Morlun,Valeria,Valeria.Morlun%40gastech.com.kronos,2003-12-02,Truck+Driver,Facilities,employment
Morlun,Adan,Adan.Morlun%40gastech.com.kronos,2006-01-14,Truck+Driver,Facilities,employment
Morluniau,Cecilia,Cecilia.Morluniau%40gastech.com.kronos,2009-04-30,Truck+Driver,Facilities,employment
Nant,Irene,Irene.Nant%40gastech.com.kronos,2008-11-30,Truck+Driver,Facilities,employment
Scozzese,Dylan,Dylan.Scozzese%40gastech.com.kronos,2007-03-01,Truck+Driver,Facilities,employment
Bergen,Linnea,Linnea.Bergen%40gastech.com.kronos,2004-07-04,IT+Group+Manager,Information+Technology,employment
Alcazar,Lucas,Lucas.Alcazar%40gastech.com.kronos,2010-11-30,IT+Helpdesk,Information+Technology,employment
Baza,Isak,Isak.Baza%40gastech.com.kronos,2002-03-20,IT+Technician,Information+Technology,employment
Calixto,Nils,Nils.Calixto%40gastech.com.kronos,2004-10-19,IT+Technician,Information+Technology,employment
Flecha,Sven,Sven.Flecha%40gastech.com.kronos,2010-10-15,IT+Technician,Information+Technology,employment
Herrero,Kanon,Kanon.Herrero%40gastech.com.kronos,2008-11-20,Badging+Office,Security,employment
Lagos,Varja,Varja.Lagos%40gastech.com.kronos,2006-10-01,Badging+Office,Security,employment
Fusil,Stenig,Stenig.Fusil%40gastech.com.kronos,2004-02-05,Building+Control,Security,employment
Mies,Minke,Minke.Mies%40gastech.com.kronos,2013-05-22,Perimeter+Control,Security,employment
Osvaldo,Hennie,Hennie.Osvaldo%40gastech.com.kronos,2011-06-07,Perimeter+Control,Security,employment
Vann,Isia,Isia.Vann%40gastech.com.kronos,2007-12-14,Perimeter+Control,Security,employment
Vann,Edvard,Edvard.Vann%40gastech.com.kronos,2013-08-15,Perimeter+Control,Security,employment
Resumir,Felix,Felix.Resumir%40gastech.com.kronos,2003-09-15,Security+Group+Manager,Security,employment
Bodrogi,Loreto,Loreto.Bodrogi%40gastech.com.kronos,2013-08-17,Site+Control,Security,employment
Cocinaro,Hideki,Hideki.Cocinaro%40gastech.com.kronos,2010-01-01,Site+Control,Security,employment
Ferro,Inga,Inga.Ferro%40gastech.com.kronos,2013-01-11,Site+Control,Security,employment
