lastname,firstname,email,timestamp,military,milexit,source
Mies+Haber,Ruscella,Ruscella.Mies.Haber%40gastech.com.kronos,1984-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Forluniau,Carla,Carla.Forluniau%40gastech.com.kronos,2001-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Lais,Cornelia,Cornelia.Lais%40gastech.com.kronos,2011-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Azada,Lars,Lars.Azada%40gastech.com.kronos,1995-10-01,TethanDefenseForceAir,GeneralDischarge,milservice
Balas,Felix,Felix.Balas%40gastech.com.kronos,1988-10-01,TethanDefenseForceNavy,HonorableDischarge,milservice
Ovan,Bertrand,Bertrand.Ovan%40gastech.com.kronos,1993-10-01,TethanDefenseForceAir,HonorableDischarge,milservice
Arpa,Emile,Emile.Arpa%40gastech.com.kronos,2012-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Awelon,Varro,Varro.Awelon%40gastech.com.kronos,2006-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Coginian,Dante,Dante.Coginian%40gastech.com.kronos,1992-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Hafon,Albina,Albina.Hafon%40gastech.com.kronos,2007-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Hawelon,Benito,Benito.Hawelon%40gastech.com.kronos,1999-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Hawelon,Claudio,Claudio.Hawelon%40gastech.com.kronos,2003-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Mies,Henk,Henk.Mies%40gastech.com.kronos,2004-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Morlun,Valeria,Valeria.Morlun%40gastech.com.kronos,2001-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Morlun,Adan,Adan.Morlun%40gastech.com.kronos,2005-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Morluniau,Cecilia,Cecilia.Morluniau%40gastech.com.kronos,2008-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Nant,Irene,Irene.Nant%40gastech.com.kronos,2005-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Scozzese,Dylan,Dylan.Scozzese%40gastech.com.kronos,2006-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Fusil,Stenig,Stenig.Fusil%40gastech.com.kronos,1987-10-01,TethanDefenseForceArmy,HonorableDischarge,milservice
Mies,Minke,Minke.Mies%40gastech.com.kronos,2011-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Osvaldo,Hennie,Hennie.Osvaldo%40gastech.com.kronos,2010-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Vann,Isia,Isia.Vann%40gastech.com.kronos,2007-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
Vann,Edvard,Edvard.Vann%40gastech.com.kronos,2011-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Resumir,Felix,Felix.Resumir%40gastech.com.kronos,1997-10-01,TethanDefenseForceArmy,HonorableDischarge,milservice
Bodrogi,Loreto,Loreto.Bodrogi%40gastech.com.kronos,2008-10-01,ArmedForcesOfKronos,HonorableDischarge,milservice
Cocinaro,Hideki,Hideki.Cocinaro%40gastech.com.kronos,2009-10-01,TethanDefenseForceArmy,HonorableDischarge,milservice
Ferro,Inga,Inga.Ferro%40gastech.com.kronos,2012-10-01,ArmedForcesOfKronos,GeneralDischarge,milservice
